Organization,Project (sq.ft.),Zip Code,1 Star,2 Star,3 Star,4 Star,5 Star,AEGB Rating,LEED Certification,Building Use,Agreements,Voluntary Participation,Program,Rating Version,Fiscal Year Reported,PropertyID,New Georeferenced Column,Stories Above Grade,Number of Residential Units,Fiscal Year Date,Fiscal Year End Date,City,State,
PSW Real Estate,,78745,0,0,0,0,1,5-star,,Residential,,,Single Family,20121,2016,,POINT (-97.783711011 30.206869003),,1,10/1/15,9/30/16,Austin,TX,
Pacesetter Homes,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2013,2018,,POINT (-97.714991978 30.158484005),,1,10/1/17,9/30/18,Austin,TX,
Riverside Homes,,78721,0,0,0,1,0,4-star,,Residential,,,Single Family,2016,2020,,POINT (-97.696978011 30.284926021),,1,10/1/19,9/30/20,Austin,TX,
Cerberus Development,,,,,,,,,,,,,,,,,,,,,,,,
Austin Habitat for Humanity,,78724,0,0,1,0,0,3-star,,Residential,,,Single Family,2012.1,2013,,POINT (-97.647755033 30.29382098),,1,10/1/12,9/30/13,Austin,TX,
Partners in Building,,78732,0,1,0,0,0,2-star,,Residential,,,Single Family,7,2004,,POINT (-97.90551599 30.37793099),,1,10/1/03,9/30/04,Austin,TX,
Centex Homes,,78617,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2007,,POINT (-97.628063009 30.166491992),,1,10/1/06,9/30/07,Del Valle,TX,
Newmark Homes,,78727,0,0,1,0,0,3-star,,Residential,,,Single Family,6,2002,,POINT (-97.851566038 30.385186994),,1,10/1/01,9/30/02,Austin,TX,
David Weekley Homes,,78723,0,0,0,1,0,4-star,,Residential,,,Single Family,2012.1,2013,,POINT (-97.700991015 30.298199016),,1,10/1/12,9/30/13,Austin,TX,
Risinger Homes LP,,78737,0,1,0,0,0,2-star,,Residential,,,Single Family,8.1,2009,,POINT (-97.767685986 30.342002004),,1,10/1/08,9/30/09,Austin,TX,
Ditmar,,,,,,,,,,,,,,,,,,,,,,,,
D.R. Horton,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,2013,2018,,POINT (-97.649695025 30.365244015),,1,10/1/17,9/30/18,Austin,TX,
Lennar,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,8 legacy,2014,,POINT (-97.700633024 30.197748989),,1,10/1/13,9/30/14,Austin,TX,
Meritage Homes,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2021,,POINT (-97.725325021 30.15861602),,1,10/1/20,9/30/21,Austin,TX,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2016,2021,,POINT (-97.696277032 30.29858802),,1,10/1/20,9/30/21,Austin,TX,
Austin Habitat for Humanity,,78741,0,0,1,0,0,3-star,,Residential,,,Single Family,2013,2016,,POINT (-97.698182993 30.238267989),,1,10/1/15,9/30/16,Austin,TX,
Clark Wilson Homes,,78746,1,0,0,0,0,1-star,,Residential,,,Single Family,II,1997,,POINT (-97.917402032 30.312624984),,1,10/1/96,9/30/97,Austin,TX,
Brookfield Residential,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2021,,POINT (-97.716441964 30.14498801),,1,10/1/20,9/30/21,Austin,TX,
Newmark Homes,,78727,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2001,,POINT (-97.680131978 30.424483996),,1,10/1/00,9/30/01,Austin,TX,
Clayton&Little Architects,,78723,0,0,0,0,1,5-star,,Residential,,,Single Family,2016,2021,,POINT (-97.697210022 30.299847988),,1,10/1/20,9/30/21,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2005,,POINT (-97.738902028 30.152311991),,1,10/1/04,9/30/05,Austin,TX,
Newmark Homes,,78732,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2000,,POINT (-97.899378006 30.377887991),,1,10/1/99,9/30/00,Austin,TX,
David Weekley Homes,,78749,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2002,,POINT (-97.87659197 30.227320008),,1,10/1/01,9/30/02,Austin,TX,
Lennar,,78732,1,0,0,0,0,1-star,,Residential,,,Single Family,2016,2021,,POINT (-97.877591009 30.389547008),,1,10/1/20,9/30/21,Austin,TX,
Prominence Homes,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,2016,2020,,POINT (-97.654909993 30.372873014),,1,10/1/19,9/30/20,Austin,TX,
D.R. Horton,,78752,0,1,0,0,0,2-star,,Residential,,,Single Family,2012.1,2016,,POINT (-97.71882804 30.344229997),,1,10/1/15,9/30/16,Austin,TX,
Centex Homes,,78617,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2011,,POINT (-97.631117039 30.168924001),,1,10/1/10,9/30/11,Del Valle,TX,
Austin Habitat for Humanity,,78744,0,0,1,0,0,3-star,,Residential,,,Single Family,2013,2016,,POINT (-97.761361002 30.179415001),,1,10/1/15,9/30/16,Austin,TX,
Jim Rush,,,,,,,,,,,,,,,,,,,,,,,,
D.R. Horton,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,2013,2018,,POINT (-97.643218999 30.354818981),,1,10/1/17,9/30/18,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,2008.2,2015,,POINT (-97.746072997 30.149558997),,1,10/1/14,9/30/15,Austin,TX,
Affordable Housing Construction,,78741,0,0,1,0,0,3-star,,Residential,,,Single Family,7,2004,,POINT (-97.731363009 30.223452011),,1,10/1/03,9/30/04,Austin,TX,
KB Home,,78747,0,1,0,0,0,2-star,,Residential,,,Single Family,2008.2,2015,,POINT (-97.744441963 30.149172004),,1,10/1/14,9/30/15,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2008,,POINT (-97.74672402 30.15288502),,1,10/1/07,9/30/08,Austin,TX,
KB Home,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,0,2015,,POINT (-97.618309994 30.347596002),,1,10/1/14,9/30/15,Austin,TX,
Lennar,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,2016,2020,,POINT (-97.694585983 30.202815011),,1,10/1/19,9/30/20,Austin,TX,
Lennar,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,7.2,2008,,POINT (-97.696111993 30.195800993),,1,10/1/07,9/30/08,Austin,TX,
Robert Stephen Homes,,,,,,,,,,,,,,,,,,,,,,,,
Newmark Homes,,78749,0,1,0,0,0,2-star,,Residential,,,Single Family,6,1999,,POINT (-97.876524999 30.204853993),,1,10/1/98,9/30/99,Austin,TX,
Ideal Custom Homes,,78704,0,0,0,0,1,5-star,,Residential,,,Single Family,2008.2,2009,,POINT (-97.761300987 30.251611015),,1,10/1/08,9/30/09,Austin,TX,
Hammonds Homes,,78704,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2003,,POINT (-97.77383604 30.243171989),,1,10/1/02,9/30/03,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,2008.2,2014,,POINT (-97.74107797 30.147712003),,1,10/1/13,9/30/14,Austin,TX,
PSW Real Estate,,78731,0,0,0,0,1,5-star,,Residential,,,Single Family,2012.1,2014,,POINT (-97.760562961 30.332427984),,1,10/1/13,9/30/14,Austin,TX,
Meritage Homes,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2021,,POINT (-97.724759526 30.157581961),,1,10/1/20,9/30/21,Austin,TX,
David Weekley Homes,,78758,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2021,,POINT (-97.720391014 30.149539006),,1,10/1/20,9/30/21,Austin,TX,
The Brohn Group,,78653,1,0,0,0,0,1-star,,Residential,,,Single Family,2016,2022,,POINT (-97.580323041 30.333009982),,1,10/1/21,9/30/22,Manor,TX,
Solluna Builders,,,,,,,,,,,,,,,,,,,,,,,,
David Weekley Homes,,78727,0,1,0,0,0,2-star,,Residential,,,Single Family,7,2004,,POINT (-97.692917985 30.432755007),,1,10/1/03,9/30/04,Austin,TX,
Smith Holt Architects,,78752,0,0,0,0,1,5-star,,Residential,,,Single Family,7.2,2006,,POINT (-97.719752983 30.325079989),,1,10/1/05,9/30/06,Austin,TX,
Lennar,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,7.2,2007,,POINT (-97.694716993 30.195817002),,1,10/1/06,9/30/07,Austin,TX,
Austin Housing Finance,,78752,0,0,1,0,0,3-star,,Residential,,,Single Family,7.1,2005,,POINT (-97.696868962 30.327614006),,1,10/1/04,9/30/05,Austin,TX,
KB Home,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,2010.1,2015,,POINT (-97.618159036 30.346630993),,1,10/1/14,9/30/15,Austin,TX,
Perry Homes,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2020,,POINT (-97.716507007 30.14816802),,1,10/1/19,9/30/20,Austin,TX,
Centex Homes,,78617,1,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2007,,POINT (-97.623485 30.1722813),,1,10/1/06,9/30/07,Del Valle,TX,
Avi Homes,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2013,2018,,POINT (-97.715767975 30.161437998),,1,10/1/17,9/30/18,Austin,TX,
Lennar,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,2016,2020,,POINT (-97.695138016 30.203911993),,1,10/1/19,9/30/20,Austin,TX,
KB Home,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2004,,POINT (-97.768276994 30.182532985),,1,10/1/03,9/30/04,Austin,TX,
Lennar,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,2010.1,2016,,POINT (-97.765453969 30.137964017),,1,10/1/15,9/30/16,Austin,TX,
Main Street Homes,,78723,1,0,0,0,0,1-star,,Residential,,,Single Family,7.2,2008,,POINT (-97.669906978 30.290871011),,1,10/1/07,9/30/08,Austin,TX,
Newmark Homes,,78749,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2000,,POINT (-97.873664004 30.20619602),,1,10/1/99,9/30/00,Austin,TX,
Standard Pacific Homes,,78717,0,1,0,0,0,2-star,,Residential,,,Single Family,2013,2018,,POINT (-97.790673188 30.480454574),,1,10/1/17,9/30/18,Austin,TX,
Austin Community Design and Development Center,,78723,0,0,0,1,0,4-star,,Residential,,,Single Family,2012.1,2013,,POINT (-97.678931019 30.305749015),,1,10/1/12,9/30/13,Austin,TX,
Pryne Renovations,,,,,,,,,,,,,,,,,,,,,,,,
Valiant Homes,,78724,0,1,0,0,0,2-star,,Residential,,,Single Family,7,2004,,POINT (-97.658922997 30.286624991),,1,10/1/03,9/30/04,Austin,TX,
American Youthworks,,78741,0,0,0,0,1,5-star,,Residential,,,Single Family,2008.2,2009,,POINT (-97.690834998 30.230462006),,1,10/1/08,9/30/09,Austin,TX,
Wilshire Homes,,78751,1,0,0,0,0,1-star,,Residential,,,Single Family,II,1996,,POINT (-97.687629004 30.416619005),,1,10/1/95,9/30/96,Austin,TX,
Brookfield Residential,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2020,,POINT (-97.718871039 30.148691009),,1,10/1/19,9/30/20,Austin,TX,
Perry Homes,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2020,,POINT (-97.718186992 30.150184999),,1,10/1/19,9/30/20,Austin,TX,
D.R. Horton,,78745,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2004,,POINT (-97.816106983 30.189269018),,1,10/1/03,9/30/04,Austin,TX,
Grand Haven Homes,,78734,0,0,1,0,0,3-star,,Residential,,,Single Family,2008.2,2011,,POINT (-98.007300039 30.354341003),,1,10/1/10,9/30/11,Lakeway,TX,
Lennar,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,2013,2017,,POINT (-97.699076001 30.201069019),,1,10/1/16,9/30/17,Austin,TX,
Standard Pacific Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2013,2018,,POINT (-97.698702001 30.298116999),,1,10/1/17,9/30/18,Austin,TX,
Newmark Homes,,78727,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2000,,POINT (-97.681795032 30.426616981),,1,10/1/99,9/30/00,Austin,TX,
KB Home,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,6,2002,,POINT (-97.739482977 30.161290015),,1,10/1/01,9/30/02,Austin,TX,
Affordable Housing Construction,,78741,0,0,1,0,0,3-star,,Residential,,,Single Family,7,2004,,POINT (-97.731641958 30.222940003),,1,10/1/03,9/30/04,Austin,TX,
Standard Pacific Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2013,2016,,POINT (-97.699314969 30.293429),,1,10/1/15,9/30/16,Austin,TX,
D.R. Horton,,78754,0,1,0,0,0,2-star,,Residential,,,Single Family,2008.2,2014,,POINT (-97.65806402 30.374856005),,1,10/1/13,9/30/14,Austin,TX,
Centerra Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2013,2018,,POINT (-97.697947965 30.29904102),,1,10/1/17,9/30/18,Austin,TX,
Austin Habitat for Humanity,,78744,0,0,0,1,0,4-star,,Residential,,,Single Family,2008.2,2011,,POINT (-97.759619997 30.178373004),,1,10/1/10,9/30/11,Austin,TX,
Hammonds Homes,,78732,1,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2005,,POINT (-97.900929999 30.356452991),,1,10/1/04,9/30/05,Austin,TX,
D.R. Horton,,78727,0,0,0,0,0,1-star,,Residential,,,Single Family,8.1,2012,,POINT (-97.651037973 30.370244994),,1,10/1/11,9/30/12,Austin,TX,
David Weekley Homes,,78754,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2003,,POINT (-97.660815966 30.373520013),,1,10/1/02,9/30/03,Austin,TX,
D.R. Horton,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,2013,2017,,POINT (-97.647737012 30.369142983),,1,10/1/16,9/30/17,Austin,TX,
Newmark Homes,,78727,0,0,1,0,0,3-star,,Residential,,,Single Family,6,2002,,POINT (-97.660800041 30.372346002),,1,10/1/01,9/30/02,Austin,TX,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2016,2019,,POINT (-97.696667964 30.294952998),,1,10/1/18,9/30/19,Austin,TX,
D.R. Horton,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,2008.2,2010,,POINT (-97.650876035 30.370712998),,1,10/1/09,9/30/10,Austin,TX,
Centex Homes,,78741,1,0,0,0,0,1-star,,Residential,,,Single Family,7.2,2006,,POINT (-97.693133986 30.223720987),,1,10/1/05,9/30/06,Austin,TX,
Standard Pacific Homes,,78723,0,0,0,1,0,4-star,,Residential,,,Single Family,2008.2,2012,,POINT (-97.701291003 30.29013399),,1,10/1/11,9/30/12,Austin,TX,
Studio Momentum Architects,,78704,0,0,0,0,1,5-star,,Residential,,,Single Family,2013,2015,,POINT (-97.769136977 30.253483993),,1,10/1/14,9/30/15,Austin,TX,
PSW Real Estate,,78745,0,0,0,0,1,5-star,,Residential,,,Single Family,2013,2015,,POINT (-97.777698002 30.205932995),,1,10/1/14,9/30/15,Austin,TX,
KB Home,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,2010.1,2015,,POINT (-97.621844978 30.349044018),,1,10/1/14,9/30/15,Austin,TX,
KB Home,,78617,1,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2010,,POINT (-97.61843698 30.169385006),,1,10/1/09,9/30/10,Del Valle,TX,
Lennar,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,2013,2017,,POINT (-97.697114971 30.202207994),,1,10/1/16,9/30/17,Austin,TX,
Centex Homes,,78724,1,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2009,,POINT (-97.627867962 30.282654986),,1,10/1/08,9/30/09,Austin,TX,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,8.1,2008,,POINT (-97.70314399 30.290190987),,1,10/1/07,9/30/08,Austin,TX,
Hammonds Homes,,78704,1,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2005,,POINT (-97.776813962 30.243176012),,1,10/1/04,9/30/05,Austin,TX,
Taylor Morrison,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2020,,POINT (-97.718142987 30.149143003),,1,10/1/19,9/30/20,Austin,TX,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2013,2017,,POINT (-97.699001989 30.294524012),,1,10/1/16,9/30/17,Austin,TX,
Newmark Homes,,78749,0,1,0,0,0,2-star,,Residential,,,Single Family,6,1999,,POINT (-97.871399968 30.20791498),,1,10/1/98,9/30/99,Austin,TX,
KB Home,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,2010.1,2015,,POINT (-97.621757974 30.34912901),,1,10/1/14,9/30/15,Austin,TX,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2008.2,2010,,POINT (-97.702866969 30.294443001),,1,10/1/09,9/30/10,Austin,TX,
Lennar,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,8 legacy,2015,,POINT (-97.70192501 30.19849699),,1,10/1/14,9/30/15,Austin,TX,
Lennar,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,7.2,2008,,POINT (-97.693245969 30.199820995),,1,10/1/07,9/30/08,Austin,TX,
KB Home,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2004,,POINT (-97.732700975 30.199599338),,1,10/1/03,9/30/04,Austin,TX,
Legacy Homes,,78749,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2001,,POINT (-97.874140012 30.204669004),,1,10/1/00,9/30/01,Austin,TX,
David Weekley Homes,,78759,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2002,,POINT (-97.777448975 30.411673011),,1,10/1/01,9/30/02,Austin,TX,
KB Home,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,8 legacy,2014,,POINT (-97.614359016 30.346843014),,1,10/1/13,9/30/14,Austin,TX,
Centex Homes,,78617,1,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2007,,POINT (-97.629461027 30.169480015),,1,10/1/06,9/30/07,Del Valle,TX,
Lennar,,78747,0,0,0,0,0,1-star,,Residential,,,Single Family,7.2,2011,,POINT (-97.766951983 30.137549993),,1,10/1/10,9/30/11,Austin,TX,
Streetman Homes,,78723,0,0,0,0,1,5-star,,Residential,,,Single Family,8.1,2010,,POINT (-97.703609018 30.294697015),,1,10/1/09,9/30/10,Austin,TX,
Urbana Homes,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,2016,2019,,POINT (-97.762018981 30.152611015),,1,10/1/18,9/30/19,Austin,TX,
David Weekley Homes,,78727,0,1,0,0,0,2-star,,Residential,,,Single Family,7,2004,,POINT (-97.691124006 30.43059302),,1,10/1/03,9/30/04,Austin,TX,
Marsh Vorspan Partners,,78731,0,0,0,1,0,4-star,,Residential,,,Single Family,2008.2,2009,,POINT (-97.744558974 30.31122902),,1,10/1/08,9/30/09,Austin,TX,
Lennar,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2010,,POINT (-97.643357971 30.362028005),,1,10/1/09,9/30/10,Austin,TX,
Austin Community Design and Development Center,,78722,1,0,0,0,0,1-star,,Residential,,,Single Family,2016,2021,,POINT (-97.722035962 30.282402984),,1,10/1/20,9/30/21,Austin,TX,
David Weekley Homes,,78758,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2021,,POINT (-97.716756034 30.149191995),,1,10/1/20,9/30/21,Austin,TX,
D.R. Horton,,78752,1,0,0,0,0,1-star,,Residential,,,Single Family,2013,2016,,POINT (-97.719127023 30.343730981),,1,10/1/15,9/30/16,Austin,TX,
Ash Creek Homes,,,,,,,,,,,,,,,,,,,,,,,,
Soledad Builders,,,,,,,,,,,,,,,,,,,,,,,,
DR Horton,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,2013,2019,,POINT (-97.649079039 30.357659985),,1,10/1/18,9/30/19,Austin,TX,
Lennar,,78617,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2019,,POINT (-97.591279027 30.150083997),,1,10/1/18,9/30/19,Del Valle,TX,
Standard Pacific Homes,,78717,0,1,0,0,0,2-star,,Residential,,,Single Family,0,2015,,POINT (-97.793944645 30.487696831),,1,10/1/14,9/30/15,Austin,TX,
Hill Country Ecobuilders,,78621,0,0,0,0,0,5-star,,Residential,,,Single Family,2008.2,2011,,POINT (-97.39092497 30.29148398),,1,10/1/10,9/30/11,Austin,TX,
Clark Wilson Homes,,78733,1,0,0,0,0,1-star,,Residential,,,Single Family,II,1996,,POINT (-97.921021002 30.31096499),,1,10/1/95,9/30/96,Austin,TX,
Habitat,,78723,1,0,0,0,0,1-star,,Residential,,,Single Family,0,2014,,POINT (-97.682023019 30.31317601),,1,10/1/13,9/30/14,Austin,TX,
Taylor Morrison,,78704,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2020,,POINT (-97.720463014 30.152073987),,1,10/1/19,9/30/20,Austin,TX,
Lennar,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,8 legacy,2014,,POINT (-97.767097996 30.140986992),,1,10/1/13,9/30/14,Austin,TX,
Pacesetter Homes,,78653,0,0,1,0,0,3-star,,Residential,,,Single Family,2016,2022,,POINT (-97.551520978 30.290036006),,1,10/1/21,9/30/22,Manor,TX,
Lennar,,78652,0,1,0,0,0,2-star,,Residential,,,Single Family,2013,2018,,POINT (-97.80806899 30.123253986),,1,10/1/17,9/30/18,Austin,TX,
David Weekley Homes,,78754,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2003,,POINT (-97.659561028 30.373743014),,1,10/1/02,9/30/03,Austin,TX,
PSW Homes,,78745,0,0,0,1,0,4-star,,Residential,,,Single Family,2013,2019,,POINT (-97.772449002 30.193584985),,1,10/1/18,9/30/19,Austin,TX,
Standard Pacific Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2008.2,2012,,POINT (-97.701841024 30.296159992),,1,10/1/11,9/30/12,Austin,TX,
DR Horton,,78752,0,1,0,0,0,2-star,,Residential,,,Single Family,2013,2020,,POINT (-97.719586016 30.34339801),,1,10/1/19,9/30/20,Austin,TX,
Standard Pacific Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,8,2008,,POINT (-97.704525999 30.292312992),,1,10/1/07,9/30/08,Austin,TX,
MileStone Community Builders,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2013,2017,,POINT (-97.722807013 30.165205998),,1,10/1/16,9/30/17,Austin,TX,
Wes Peoples Homes,,78748,1,0,0,0,0,1-star,,Residential,,,Single Family,2013,2017,,POINT (-97.829645014 30.193181019),,1,10/1/16,9/30/17,Austin,TX,
Dream Finders Homes,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2020,,POINT (-97.720248018 30.146874986),,1,10/1/19,9/30/20,Austin,TX,
DJL Properties & Design,,78759,0,0,0,0,1,5-star,,Residential,,,Single Family,2008.2,2009,,POINT (-97.75807999 30.380393006),,1,10/1/08,9/30/09,Austin,TX,
Centerra Homes,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,2013,2018,,POINT (-97.75376398 30.15416502),,1,10/1/17,9/30/18,Austin,TX,
Lakeline Square Partners,,78729,0,0,0,0,1,5-star,,Residential,,,Single Family,8.1,2009,,POINT (-97.783661223 30.469590118),,1,10/1/08,9/30/09,Austin,TX,
Streetman Homes,,78723,0,0,0,0,1,5-star,,Residential,,,Single Family,8.1,2008,,POINT (-97.705706003 30.29088899),,1,10/1/07,9/30/08,Austin,TX,
Lennar,,78617,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2018,,POINT (-97.590026016 30.151624004),,1,10/1/17,9/30/18,Del Valle,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2007,,POINT (-97.746929963 30.149949007),,1,10/1/06,9/30/07,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2005,,POINT (-97.738138017 30.150806014),,1,10/1/04,9/30/05,Austin,TX,
Main Street Homes,,78724,1,0,0,0,0,1-star,,Residential,,,Single Family,6,1999,,POINT (-97.659764959 30.29055099),,1,10/1/98,9/30/99,Austin,TX,
The Brohn Group,,78653,1,0,0,0,0,1-star,,Residential,,,Single Family,2016,2020,,POINT (-97.581430039 30.335801994),,1,10/1/19,9/30/20,Manor,TX,
Austin Habitat for Humanity,,78723,0,0,0,0,1,5-star,,Residential,,,Single Family,8,2009,,POINT (-97.68144098 30.310300011),,1,10/1/08,9/30/09,Austin,TX,
D.R. Horton,,78754,0,1,0,0,0,2-star,,Residential,,,Single Family,2008.2,2014,,POINT (-97.649527973 30.366014983),,1,10/1/13,9/30/14,Austin,TX,
KB Home,,78617,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2007,,POINT (-97.61885398 30.169575987),,1,10/1/06,9/30/07,Del Valle,TX,
Lennar,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,2013,2017,,POINT (-97.69637904 30.202838983),,1,10/1/16,9/30/17,Austin,TX,
Centex Homes,,78724,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2011,,POINT (-97.632930967 30.272328984),,1,10/1/10,9/30/11,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2005,,POINT (-97.741693034 30.162347015),,1,10/1/04,9/30/05,Austin,TX,
Lennar,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,7.2,2009,,POINT (-97.693995981 30.200739987),,1,10/1/08,9/30/09,Austin,TX,
Main Street Homes,,78747,0,0,0,0,0,1-star,,Residential,,,Single Family,7.2,2011,,POINT (-97.750534014 30.158965001),,1,10/1/10,9/30/11,Austin,TX,
Newmark Homes,,78732,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2000,,POINT (-97.900146962 30.377408001),,1,10/1/99,9/30/00,Austin,TX,
Austin Housing Finance Corp.,,78702,0,1,0,0,0,2-star,,Residential,,,Single Family,II,1996,,POINT (-97.71001296 30.25345298),,1,10/1/95,9/30/96,Austin,TX,
Lennar,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,7.2,2008,,POINT (-97.692635012 30.200737012),,1,10/1/07,9/30/08,Austin,TX,
